filename,year,text
00b786eb-afed-48d1-a170-fd385ec7942b.pdf,2024,"6 
Landbouw , klimaat  en voedsel 
Landbouw , klimaat  en voedsel 
Aan de orde  is het tweeminut endebat  Landbouw , klimaat 
en voedsel  (CD d.d. 15/02) . 
De voorzit ter: 
Aan de orde  is het tweeminutendebat  Landbouw , klimaat 
en voedsel.  Ik heet de leden  van de Kamer  van harte wel- 
kom,  evenals  minister  Adema  in vak K. Ik nodig  graag  de 
eerste sprek er van de zijde  van de Kamer  uit, mevrouw "
00e8a26a-ee73-427d-9a0c-09d3f58c8662.pdf,2024,"4 
Nationaal  Plan Ener giesyst eem 
Nationaal  Plan Energiesysteem 
Aan de orde  is het tweeminut endebat  Nationaal  Plan 
Ener giesyst eem (NPE)  (CD d.d. 08/02) . 
De voorzit ter: 
Goedemorgen.  Wij gaan nu een tweeminutendebat  voeren 
met het onderwerp  Nationaal  Plan Energiesysteem.  Op 8 
februari  jongstleden  heeft de commissie  daar  een debat 
over gevoerd  met de minister  voor Klimaat  en Energie. "
04318c33-4aee-4780-965a-703f179cbc09.pdf,2024,"6 
Personen-  en familier echt 
Personen-  en familierec ht 
Aan de orde  is het tweeminut endebat  Personen-  en fami- 
lierecht (CD d.d. 03/04) . 
De voorzit ter: 
Aan de orde  is het tweeminutendebat  Personen-  en familie- 
recht. De Griffie heeft signalen  gekregen  dat twee  leden 
niet bij het commissiedebat  aanwezig  waren  maar  wel 
zouden  willen  sprek en. Het zou gaan om de leden  Kostić "
04d68bb3-e423-4f57-83ca-4322259c58e8.pdf,2024,"27 
Gevangenisw ezen en tbs 
Gevangeniswez en en tbs 
Aan de orde  is het tweeminut endebat  Gevangenisw ezen 
en tbs (CD d.d. 16/05) . 
De voorzit ter: 
Aan de orde  is het tweeminutendebat  Gevangeniswez en 
en tbs. Ik heet de minister  voor Rechtsbesc herming  van 
harte welkom.  De eerste sprek er en tevens  de aanvrager 
van dit debat  is de heer  Ellian.  Aan hem  is nu het woord. "
04f304bd-484b-4002-92b5-88a8fb96e09e.pdf,2024,"6 
Woningbouw opgave en koopsect or 
Woningbouwopg ave en koopsector 
Aan de orde  is het tweeminut endebat  Woningbouw opgave 
en koopsect or (CD d.d. 21/03  en CD d.d. 04/04) . 
De voorzit ter: 
Aan de orde  is het tweeminutendebat  Woningbouwopg ave 
en koopsector . Ik heet de leden  van de Kamer  welkom.  Ik 
heet opnieuw  de minister  in vak K welkom.  Ik geef als eerste 
het woord  aan mevrouw  Welzijn  van de fractie  van NSC. "
069e6337-458a-4b23-9aad-6a0d30f6faa9.pdf,2024,"7 
Regeling  van werkzaamheden 
Regeling  van werkzaamheden 
Regeling  van werkzaamheden 
De voorzit ter: 
Dan de regeling  van werkzaamheden. 
Ik stel voor toe te voegen  aan de agenda  van de Kamer: 
- het tweeminutendebat  Curriculumherziening  en de 
voortgangsrappor tage Masterplan  basisvaardigheden  (CD 
d.d. 16/10), met als eerste sprek er het lid Soepboer  van "
0a178131-9bbf-4848-b528-25341b33c6cc.pdf,2024,"9 
Post 
Voorzit ter: Tielen 
Post 
Aan de orde  is het tweeminut endebat  Post (CD d.d. 09/10). 
De voorzit ter: 
Goedenav ond allemaal,  hier en de mensen  die op afstand 
meekijk en. Ik hervat  de verg adering  van de Tweede  Kamer 
der Staten-Generaal  van donderdag  17 oktober . Aan de 
orde  is het tweeminutendebat  met de titel ""Post"".  Lekker "
0bb2d4aa-eba4-493e-ba6f-527803876cdb.pdf,2024,"5 
Tweeminut endebat  Ener gieraad (for- 
meel)  d.d. 30 mei 2024 
Voorzit ter: Martin Bosma 
Tweeminutendebat  Energieraad  (formeel)  d.d. 30 mei 2024 
Aan de orde  is het tweeminut endebat  Ener gieraad (formeel) 
d.d. 30 mei 2024  (CD d.d. 29/05) . 
De voorzit ter: 
Aan de orde  is het tweeminutendebat  Energieraad.  Het 
commissiedebat  vond hedenoc htend  plaats.  Dat ligt nog "
0c531d91-967b-422b-b0fc-691f5b7ea2eb.pdf,2024,"7 
NAVO 
Voorzit ter: Van der Lee 
NAVO 
Aan de orde  is het tweeminut endebat  NAVO (CD d.d. 
08/10). 
De voorzit ter: 
Aan de orde  is het tweeminutendebat  NAVO. Ik heet de 
minister  van Defensie  en de leden  van harte welkom.  De 
heer  Grinwis wil volgens  mij gelijk  een punt  van orde "
0cd06861-89a2-4f34-9a9f-865d58cdb86f.pdf,2024,"25 
Vreemdeling en- en asielbeleid 
Vreemdelingen-  en asielbeleid 
Aan de orde  is het tweeminut endebat  Vreemdeling en- en 
asielbeleid  (CD d.d. 07/03) . 
De voorzit ter: 
Aan de orde  is het tweeminutendebat  Vreemdelingen-  en 
asielbeleid.  Het commissiedebat  vond plaats  op 7 maar t 
jongstleden.  Een hartelijk  woord  van welkom  aan de 
staatssecretaris.  We hebben  negen  sprek ers van de zijde "
