Partij,Jaar,Zetels
LU,1888,32
vrije liberalen,1888,0
Vrijheidsbond,1888,0
katholieken/AB,1888,10
conservatieven,1888,3
gematigde liberalen,1888,2
conservatief-liberalen,1888,2
ARP,1888,1
Vrij-ARP,1888,0
CHP,1888,0
CHU,1888,0
VDB,1888,0
SDAP,1888,0
LU,1890,32
vrije liberalen,1890,0
Vrijheidsbond,1890,0
katholieken/AB,1890,11
conservatieven,1890,2
gematigde liberalen,1890,2
conservatief-liberalen,1890,2
ARP,1890,1
Vrij-ARP,1890,0
CHP,1890,0
CHU,1890,0
VDB,1890,0
SDAP,1890,0
LU,1893,32
vrije liberalen,1893,0
Vrijheidsbond,1893,0
katholieken/AB,1893,12
conservatieven,1893,1
gematigde liberalen,1893,0
conservatief-liberalen,1893,1
ARP,1893,4
Vrij-ARP,1893,0
CHP,1893,0
CHU,1893,0
VDB,1893,0
SDAP,1893,0
LU,1896,27
vrije liberalen,1896,4
Vrijheidsbond,1896,0
katholieken/AB,1896,13
conservatieven,1896,1
gematigde liberalen,1896,0
conservatief-liberalen,1896,0
ARP,1896,5
Vrij-ARP,1896,0
CHP,1896,0
CHU,1896,0
VDB,1896,0
SDAP,1896,0
LU,1899,24
vrije liberalen,1899,7
Vrijheidsbond,1899,0
katholieken/AB,1899,13
conservatieven,1899,1
gematigde liberalen,1899,0
conservatief-liberalen,1899,0
ARP,1899,2
Vrij-ARP,1899,3
CHP,1899,0
CHU,1899,0
VDB,1899,0
SDAP,1899,0
LU,1902,18
vrije liberalen,1902,9
Vrijheidsbond,1902,0
katholieken/AB,1902,14
conservatieven,1902,1
gematigde liberalen,1902,0
conservatief-liberalen,1902,0
ARP,1902,5
Vrij-ARP,1902,3
CHP,1902,0
CHU,1902,0
VDB,1902,0
SDAP,1902,0
LU,1904,12
vrije liberalen,1904,7
Vrijheidsbond,1904,0
katholieken/AB,1904,18
conservatieven,1904,0
gematigde liberalen,1904,0
conservatief-liberalen,1904,0
ARP,1904,8
Vrij-ARP,1904,0
CHP,1904,5
CHU,1904,0
VDB,1904,0
SDAP,1904,0
LU,1907,13
vrije liberalen,1907,6
Vrijheidsbond,1907,0
katholieken/AB,1907,18
conservatieven,1907,0
gematigde liberalen,1907,0
conservatief-liberalen,1907,0
ARP,1907,9
Vrij-ARP,1907,0
CHP,1907,4
CHU,1907,0
VDB,1907,0
SDAP,1907,0
LU,1910,15
vrije liberalen,1910,3
Vrijheidsbond,1910,0
katholieken/AB,1910,18
conservatieven,1910,0
gematigde liberalen,1910,0
conservatief-liberalen,1910,0
ARP,1910,9
Vrij-ARP,1910,0
CHP,1910,0
CHU,1910,5
VDB,1910,0
SDAP,1910,0
LU,1913,16
vrije liberalen,1913,0
Vrijheidsbond,1913,0
katholieken/AB,1913,18
conservatieven,1913,0
gematigde liberalen,1913,0
conservatief-liberalen,1913,0
ARP,1913,9
Vrij-ARP,1913,0
CHP,1913,0
CHU,1913,4
VDB,1913,2
SDAP,1913,1
LU,1916,15
vrije liberalen,1916,1
Vrijheidsbond,1916,0
katholieken/AB,1916,17
conservatieven,1916,0
gematigde liberalen,1916,0
conservatief-liberalen,1916,0
ARP,1916,9
Vrij-ARP,1916,0
CHP,1916,0
CHU,1916,4
VDB,1916,2
SDAP,1916,2
LU,1917,14
vrije liberalen,1917,1
Vrijheidsbond,1917,0
katholieken/AB,1917,17
conservatieven,1917,0
gematigde liberalen,1917,0
conservatief-liberalen,1917,0
ARP,1917,9
Vrij-ARP,1917,0
CHP,1917,0
CHU,1917,4
VDB,1917,3
SDAP,1917,2
LU,1919,13
vrije liberalen,1919,1
Vrijheidsbond,1919,0
katholieken/AB,1919,17
conservatieven,1919,0
gematigde liberalen,1919,0
conservatief-liberalen,1919,0
ARP,1919,9
Vrij-ARP,1919,0
CHP,1919,0
CHU,1919,4
VDB,1919,2
SDAP,1919,4
LU,1922,0
vrije liberalen,1922,0
Vrijheidsbond,1922,1
katholieken/AB,1922,21
conservatieven,1922,0
gematigde liberalen,1922,0
conservatief-liberalen,1922,0
ARP,1922,14
Vrij-ARP,1922,0
CHP,1922,0
CHU,1922,7
VDB,1922,4
SDAP,1922,3
AB,1923,16
RKSP,1923,0
KVP,1923,0
SDAP,1923,11
VDB,1923,3
PvdA,1923,0
ARP,1923,8
CHU,1923,7
Vrijheidsbond,1923,5
PvdV,1923,0
VVD,1923,0
NSB,1923,0
CPN,1923,0
AB,1926,0
RKSP,1926,16
KVP,1926,0
SDAP,1926,11
VDB,1926,3
PvdA,1926,0
ARP,1926,7
CHU,1926,7
Vrijheidsbond,1926,6
PvdV,1926,0
VVD,1926,0
NSB,1926,0
CPN,1926,0
AB,1929,0
RKSP,1929,16
KVP,1929,0
SDAP,1929,11
VDB,1929,4
PvdA,1929,0
ARP,1929,6
CHU,1929,7
Vrijheidsbond,1929,6
PvdV,1929,0
VVD,1929,0
NSB,1929,0
CPN,1929,0
AB,1932,0
RKSP,1932,16
KVP,1932,0
SDAP,1932,11
VDB,1932,4
PvdA,1932,0
ARP,1932,6
CHU,1932,7
Vrijheidsbond,1932,6
PvdV,1932,0
VVD,1932,0
NSB,1932,0
CPN,1932,0
AB,1935,0
RKSP,1935,16
KVP,1935,0
SDAP,1935,11
VDB,1935,3
PvdA,1935,0
ARP,1935,6
CHU,1935,7
Vrijheidsbond,1935,5
PvdV,1935,0
VVD,1935,0
NSB,1935,2
CPN,1935,0
AB,1937,0
RKSP,1937,16
KVP,1937,0
SDAP,1937,12
VDB,1937,2
PvdA,1937,0
ARP,1937,7
CHU,1937,6
Vrijheidsbond,1937,3
PvdV,1937,0
VVD,1937,0
NSB,1937,4
CPN,1937,0
AB,1946,0
RKSP,1946,0
KVP,1946,17
SDAP,1946,0
VDB,1946,0
PvdA,1946,14
ARP,1946,7
CHU,1946,5
Vrijheidsbond,1946,0
PvdV,1946,3
VVD,1946,0
NSB,1946,0
CPN,1946,4
AB,1948,0
RKSP,1948,0
KVP,1948,17
SDAP,1948,0
VDB,1948,0
PvdA,1948,14
ARP,1948,7
CHU,1948,5
Vrijheidsbond,1948,0
PvdV,1948,0
VVD,1948,3
NSB,1948,0
CPN,1948,4
AB,1951,0
RKSP,1951,0
KVP,1951,16
SDAP,1951,0
VDB,1951,0
PvdA,1951,14
ARP,1951,7
CHU,1951,6
Vrijheidsbond,1951,0
PvdV,1951,0
VVD,1951,4
NSB,1951,0
CPN,1951,3
AB,1952,0
RKSP,1952,0
KVP,1952,17
SDAP,1952,0
VDB,1952,0
PvdA,1952,14
ARP,1952,7
CHU,1952,6
Vrijheidsbond,1952,0
PvdV,1952,0
