id,updated,nummer,afkorting,naamNl,naamEn,aantalZetels,aantalStemmen,datumActief,datumInactief
ea081a13-e90e-4b8c-a917-95b7026bb635,2023-08-29T11:23:19.7179164Z,2761,LPF,Lijst Pim Fortuyn,List Pim Fortuyn,,541233,2002-05-23,2006-11-29
771d14b3-7360-4adc-821e-6d09d57b3f82,2023-08-29T11:23:19.7022918Z,2758,Groep Wijnschenk,Groep Wijnschenk,Group Wijnschenk,,,2002-11-12,2003-01-29
af740a5b-1910-4159-8a26-f71480962c0b,2023-08-29T11:23:19.7335428Z,2762,Groep Nawijn,Groep Nawijn,Group Nawijn,,23030,2005-06-23,2006-11-29
037d290b-4b01-46b3-b95e-c145ddfd1474,2023-08-29T11:23:19.7179164Z,2759,Groep Lazrak,Groep Lazrak,Group Lazrak,,2387,2004-02-04,2006-11-29
d7cec3bd-f1f1-41ec-80f5-db5b66be3b86,2023-08-29T11:23:19.7647968Z,2766,Groep Eerdmans-van Schijndel,Groep Eerdmans-van Schijndel,Group Eerdmans-van Schijndel,,,2006-09-25,2006-11-29
ba2fa401-7f36-46ae-b7a3-68f006bfb7f2,2023-08-29T11:23:19.6866639Z,2755,Groep De Jong,Groep De Jong,Group De Jong,,,2002-10-02,2003-01-29
2590e192-a08d-4558-aa34-443c8816dfce,2023-08-29T11:23:19.7335428Z,2757,Groep van Oudenallen,Groep van Oudenallen,Group van Oudenallen,,,2006-07-07,2006-11-29
eb72ccb0-e80a-42d0-8b15-ebc30051447c,2023-08-29T11:23:21.8117142Z,2785,Klein,Klein,Klein,0,3511,2014-11-13,2017-03-22
b094bfef-e14b-4868-8d2e-78e12c6077d1,2023-08-29T11:23:21.7648393Z,2779,50PLUS/Baay-Timmerman,50PLUS/Baay-Timmerman,50PLUS/Baay-Timmerman,,,2014-06-03,2014-11-13
2833a04a-0b87-4f74-bd9e-6597f695db43,2023-08-29T11:23:21.7648393Z,2782,Monasch,Monasch,Monasch,0,,2016-11-08,2017-03-22
e2c3dd23-f247-430a-9c94-53f9f5c06c0b,2023-08-29T11:23:21.7804637Z,2780,Van Vliet,Van Vliet,Van Vliet,0,1113,2014-03-21,2017-03-22
fc594dee-bad8-4caf-ba89-9496537c3527,2023-08-29T11:23:21.8585905Z,2786,GrBvK,Groep Bontes/Van Klaveren,Group Bontes/Van Klaveren,0,,2014-04-15,2017-03-22
06c7d1e6-394d-40db-ad2a-141a20124714,2023-08-29T11:23:21.8117142Z,2771,Groep Wilders,Groep Wilders,Group Wilders,,4763,2004-09-02,2006-11-29
489c052b-1917-4a1e-918d-1ef58fda123b,2023-08-29T11:23:21.8117142Z,2769,Verdonk,Verdonk,Verdonk,,620555,2007-01-01,2010-06-16
5b457d01-2569-40e3-9201-b99b1d80c471,2023-08-29T11:23:21.8898408Z,2787,Houwers,Houwers,Houwers,0,,2015-03-25,2017-03-22
831e85cb-62dc-4341-84ec-78c3c593c244,2023-08-29T11:23:21.8273484Z,2772,BONTES,Bontes,Bontes,,,2013-10-29,2017-02-14
b04f833d-8704-4f2c-bd98-83f3068dbb24,2023-08-29T11:23:21.7960904Z,2781,GrKÖ,Groep Kuzu/Öztürk,Group Kuzu/Öztürk,0,,2014-11-14,2017-03-22
e133cd98-1b5c-47e0-ac4d-031f34199767,2023-08-29T11:23:21.7960904Z,2783,BRINK,Brinkman,Brinkman,,,2012-03-20,2012-09-19
c82898bb-a5b0-4915-8452-3c9469363b0b,2023-08-29T11:23:21.7648393Z,2774,Van Bemmel,Van Bemmel,Van Bemmel,,,2012-07-06,2012-09-19
92dec5db-fce3-4235-b432-2feec47d3241,2023-08-29T11:23:21.7960904Z,2777,Baay-Timmerman,Baay-Timmerman,Baay-Timmerman,,,2014-05-28,2014-06-03
4517964b-fe02-4b7c-b5df-a4357d750ca4,2023-08-29T11:23:21.8742171Z,2784,Van Klaveren,Van Klaveren,Van Klaveren,,,2014-03-22,2014-04-14
a34bf6c8-834e-4dba-b4d2-f2f1b3957bd2,2023-08-29T11:23:21.7960904Z,2775,50PLUS,50PLUS,50PLUS,0,106702,2012-09-20,2021-05-11
292e65d3-7337-424e-a956-9066f285861a,2023-08-29T11:23:21.7492148Z,2773,GrKH,Groep Kortenoeven/Hernandez,Group Kortenoeven/Hernandez,,,2012-07-03,2012-09-19
8140f3a2-f9c1-48a6-a0b2-7e6eb78b3006,2023-08-29T13:56:20.1930657Z,45459,Van Haga,Van Haga,Van Haga,0,2156,2019-09-24,2020-11-29
1ffd89a8-9db9-437f-a064-651770ce85f3,2023-08-29T14:00:11.6894503Z,,,,,,,,
fdcd3f2b-52ec-4a88-8034-cf592f0b9d47,2023-10-05T10:40:09.3550607Z,2760,LN,Leefbaar Nederland,Leefbaar Nederland,,,2002-05-23,2003-01-29
43eff828-86b7-4cb1-9c73-4ea0e33f93ac,2023-10-05T10:41:10.3378327Z,2776,DPK,Democratisch Politiek Keerpunt,Democratisch Politiek Keerpunt,,,2012-09-20,2012-09-20
b4907c2d-282d-465e-bf23-18369f68086c,2023-10-05T10:42:09.0813571Z,2778,50PLUS/Klein,50PLUS/Klein,50PLUS/Klein,,,2014-06-03,2014-11-13
cf46369d-a0e2-4090-b9f3-dd2feb5b4f35,2023-10-05T10:42:09.0969825Z,5149,GRSCH,Groep Van Schijndel,Groep Van Schijndel,,,2006-09-07,2006-09-24
5452aab2-d0cb-40a8-82b7-144c6e6bc5ca,2023-10-05T10:42:09.1282340Z,44981,vKA,Van Kooten-Arissen,Van Kooten-Arissen,0,6131,2019-07-16,2020-05-05
68b24085-9d89-4c00-a61c-a06a1493dcdd,2023-10-05T10:43:09.4518566Z,46106,Krol,Krol,Krol,0,233179,2020-05-03,2020-05-05
ae60c2d3-5f87-4170-8f0c-503c36ddd130,2023-10-05T10:43:09.4362014Z,46112,Groep Krol/vKA,Groep Krol/van Kooten-Arissen,Groep Krol/van Kooten-Arissen,0,239310,2020-05-06,2020-08-05
9baf43e2-3081-4fb1-93c4-6f002f395271,2023-10-05T10:43:09.4362014Z,46279,Krol,Krol,Krol,0,233179,2020-08-06,2021-03-31
6f14bed5-cf7c-4340-a334-b538bbea85a7,2023-10-05T10:43:09.4518566Z,46280,vKA,Van Kooten-Arissen,Van Kooten-Arissen,,6131,2020-08-06,2021-03-31
8fd1a907-0355-4d27-8dc1-fd5a531b471e,2023-10-27T08:47:09.4690810Z,2756,GL,GroenLinks,Green Left,0,537308,1990-11-24,2023-10-26
62c1a13c-85ff-40ed-90f7-a9546d61f869,2023-12-06T13:47:57.7488641Z,2752,CDA,Christen-Democratisch Appèl,Christian Democratic Appeal,5,345822,1980-10-11,
deb74bb5-63a9-4ffc-98ed-af577167452e,2023-12-06T13:48:04.3277356Z,5126,DENK,DENK,DENK,3,246765,2017-03-23,
d3b4d880-ef37-4ce6-99ec-4940266ac466,2023-12-06T13:48:14.3799277Z,2764,PvdD,Partij voor de Dieren,Party for the Animals,3,235148,2006-11-30,
77f9b6f1-b1a9-4d1b-a05e-9936e79d8fa5,2023-12-06T13:48:32.0074521Z,2767,SGP,Staatkundig Gereformeerde Partij,Calvinist Political Party,3,217270,1922-04-30,
18e95d6d-1684-4fa0-968a-1a6140d2d793,2023-12-06T13:48:32.0230787Z,50309,BIJ1,BIJ1,BIJ1,0,87238,2021-03-31,2023-12-05
ae48391e-ce4d-47e0-86e3-ee310282f66f,2023-12-06T13:48:37.3864461Z,50311,Volt,Volt,Volt,2,178802,2021-03-31,
ea1ba564-db2c-4c57-b867-91ac4dcc5643,2023-12-06T13:48:35.2117861Z,52314,Fractie Den Haan,Fractie Den Haan,Fractie Den Haan,0,106702,2021-05-10,2023-12-05
7113623f-909d-4a24-a48e-c7577f851e63,2023-12-06T13:48:35.3367780Z,52367,Groep Van Haga,Groep Van Haga,Groep Van Haga,0,240204,2021-05-13,2023-12-05
acc6e04b-e53e-489b-8904-dc91d3af2e11,2023-12-06T13:48:37.2926882Z,52799,Omtzigt,Omtzigt,Omtzigt,0,342472,2021-09-15,2023-12-05
